DistrictName,TehsilName,UCName,VisitDate,RefCode,SchoolName,SchoolMauza,SchoolAddress,PhoneNumber,TotalAreaKanal,TotalAreaMarla,GPS_North,GPS_East,EstablishmentYear,SchoolLocation,SchoolLevel,SchoolGender,RegistrationStatus,RegistrationNo,BISEAffiliated,BISEName,SchoolCategory,School Category,MediumOfInstruction,NoOfClassRooms,Fac_DrinkingWater,Fac_BoundaryWall,Fac_Electricity,Fac_Toilet,Fac_StaffRoom,Fac_PlayGround,Fac_UPSGenerator,Fac_MultipurposeHall,Fac_OfficeComputer,Fac_ComputerLab,Fac_ScienceLab,Fac_Library,Fac_Transport,Fac_Hostel,BuildingOwnership,Enrolment_PN_Boys,Enrolment_PN_Girls,Enrolment_NU_Boys,Enrolment_NU_Girls,Enrolment_PR_Boys,Enrolment_PR_Girls,Enrolment_01_Boys,Enrolment_01_Girls,Enrolment_02_Boys,Enrolment_02_Girls,Enrolment_03_Boys,Enrolment_03_Girls,Enrolment_04_Boys,Enrolment_04_Girls,Enrolment_05_Boys,Enrolment_05_Girls,Enrolment_06_Boys,Enrolment_06_Girls,Enrolment_07_Boys,Enrolment_07_Girls,Enrolment_08_Boys,Enrolment_08_Girls,Enrolment_09S_Boys,Enrolment_09A_Boys,Enrolment_09S_Girls,Enrolment_09A_Girls,Enrolment_10S_Boys,Enrolment_10A_Boys,Enrolment_10S_Girls,Enrolment_10A_Girls,Enrolment_11S_Boys,Enrolment_11A_Boys,Enrolment_11S_Girls,Enrolment_11A_Girls,Enrolment_12S_Boys,Enrolment_12A_Boys,Enrolment_12S_Girls,Enrolment_12A_Girls,Enrolment_OLS_Boys,Enrolment_OLA_Boys,Enrolment_OLS_Girls,Enrolment_OLA_Girls,Enrolment_ALS_Boys,Enrolment_ALA_Boys,Enrolment_ALS_Girls,Enrolment_ALA_Girls,TeachingStaffMale,TeachingStaffFemale,NonTeachingStaffMale,NonTeachingStaffFemale,MultiGradeClassesClubbed,TextBooksUsed,TextBooksOtherName,Teachers_FAFSC_Male,Teachers_FAFSC_Female,Teachers_BABSC_Male,Teachers_BABSC_Female,Teachers_MAMSC_Male,Teachers_MAMSC_Female,EnumeratorID,EnumeratorName
KHANEWAL,KABIRWALA,MAHNI SIAL,8-Nov-16,36490211,HIGH AIMS SCHOOL,MAHNI SIAL,"P/O MANI SIAL, KHANEWAL",03017810152,6,4,30.2866677,71.792088,2008,Rural,Middle,Both,Registered,0425,No,,31,Punjab Education Foundation (PEF),Mixed,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Owned,,,74,62,64,38,59,58,64,35,49,46,25,17,29,22,26,14,16,18,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,30,4,,,PCTB,,,8,,20,,2,364107,Tariq Shabbir
KHANEWAL,KABIRWALA,MOOLA PUR,14-Nov-16,36491117,MEHAR FATIMA CARE MODEL SCHOOL KABIRWALA,3 KASSI,3 KASSI,N/A,4,5,30.4010508,71.8617654,2014,Rural,Middle,Both,UnderProcess,,No,,22,Private Un-Registered,English,22,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Owned,30,24,34,25,36,29,65,42,31,18,22,19,20,19,11,8,8,15,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,3,,Oxford,,,,,,,25,364107,Tariq Shabbir
KHANEWAL,KABIRWALA,MC KABIRWALA,16-Nov-16,36491168,GARRISON SCHOOL SYSTEM,KABIR WALA,NEAR BADLA OFFICE KABIR WALA ,0562410075,3,,30.4000085,71.8718174,2012,Urban,High,Both,Registered,653,Yes,BISE Multan,21,Private Registered,Mixed,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Rent Free,41,18,28,30,37,34,39,29,44,26,45,22,36,28,34,20,32,27,23,17,43,26,42,,45,,28,,28,,,,,,,,,,,,,,,,,,10,30,7,3,,Oxford,,,10,7,20,3,,364116,Haris Hafeez
KHANEWAL,KABIRWALA,MC KABIRWALA,17-Nov-16,36491240,KHALID-BIN-WALEED HIGH SCHOOL,CITY,CANAL ROAD KABIR WALA,03336229934,6,5,30.4008244,71.8699181,1993,Urban,High,Both,Registered,093,Yes,BISE Multan,21,Private Registered,English,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Owned,27,19,,,37,16,39,26,34,28,46,26,48,29,48,28,49,,68,,60,,147,,,,106,,,,,,,,,,,,,,,,,,,,27,4,10,,,PCTB,,4,4,12,,11,,364116,Haris Hafeez
KHANEWAL,KABIRWALA,MC KABIRWALA,19-Nov-16,36491331,FATIMA  JINNAH PUBLIC SCHOOL,KABIR WALA,OPP THE BANK OF PUNJAB,03005557693,3,,30.4008244,71.8699181,1986,Urban,Middle,Both,Registered,618,No,,31,Punjab Education Foundation (PEF),Mixed,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Rented,24,26,21,20,28,14,26,21,14,23,23,21,23,20,30,15,15,20,17,13,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,25,7,5,,Oxford,,,,,19,,6,364116,Haris Hafeez
KHANEWAL,KHANEWAL,MC KHANEWAL,24-Nov-16,36491425,KHANEWAL PUBLIC SCHOOL KWL,KHANEWAL,MULTAN LAHORE ROAD KHANEWAL,0659200103,416,,30.3187752,71.9301187,1987,Urban,HigherSecondary,Both,Registered,0518/RG-22/9/03,Yes,BISE Multan,21,Private Registered,English,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Owned,,,25,15,40,33,44,29,47,35,56,21,50,39,53,45,60,44,47,52,57,39,69,,88,,52,,54,,4,,9,,7,,31,,13,,,,,,,,14,56,2,2,,Others,"PCTBB , OXFORD",,,1,1,13,55,364210,Zulfiqar Ali
KHANEWAL,KHANEWAL,MC KHANEWAL,10-Nov-16,36491096,GAZALI INSTITUTE OF EDUCATION,88/10R,BUBLY PARK KHANEWAL,0652553220,6,,30.2907339,71.9451356,1999,Rural,High,Both,Registered,0082,Yes,BISE Multan,21,Private Registered,Mixed,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Owned,23,8,15,14,23,28,39,22,42,34,35,28,41,27,25,34,44,34,40,15,28,37,34,18,27,9,25,15,27,7,,,,,,,,,,,,,,,,,10,31,5,5,,Others,"PCTBB, AFAQ ",,4,6,14,4,13,364210,Zulfiqar Ali
KHANEWAL,KHANEWAL,MC KHANEWAL,8-Nov-16,36490308,THE HAWK HIGHER SECONDARY SCHOOL PEOPLES COLONY KHANEWAL,MC KHANEWAL,W.42 PEOPLES COLONY KHANEWAL,0652555925,3,10,30.3096401,71.9384668,2009,Urban,HigherSecondary,Both,Registered,454/455,Yes,BISE Multan,21,Private Registered,English,49,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Rented,,,20,25,25,23,21,30,28,27,27,26,19,37,29,14,31,29,36,37,34,30,42,,43,,34,,34,,20,,73,,8,,64,,,,,,,,,,14,35,11,1,,Others,GOHAR PUBLISHERS,,,,13,14,22,364210,Zulfiqar Ali
KHANEWAL,KHANEWAL,MC KHANEWAL,8-Nov-16,36490293,THE EDUCATOR SCHOOL SYSTEM KHANEWAL 6 IRSHAD COLONY,MC KHANEWAL,6. IRSHAD COONY,0652557401,5,5,30.3080692,71.942828,2002,Urban,High,Both,Registered,0413,Yes,BISE Multan,21,Private Registered,English,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Rented,18,12,20,14,30,20,40,22,42,30,35,24,38,20,30,25,30,30,20,18,30,17,14,,16,,18,,17,,,,,,,,,,,,,,,,,,7,53,15,7,,Others,"PCTBB , OXFORD",,,1,4,6,49,364210,Zulfiqar Ali
KHANEWAL,KHANEWAL,MC KHANEWAL,8-Nov-16,36490275,THE HAWK SCHOOL SYSTEM KHANEWAL,N/A,W-42 PEOPLES COLONY KHANEWAL,0652555925,3,10,30.3019086,71.9232762,2009,Urban,HigherSecondary,Both,Registered,454/455,Yes,BISE Multan,21,Private Registered,English,49,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Rented,,,20,25,25,23,21,30,28,27,27,26,19,37,29,19,31,29,36,37,34,30,42,,43,,34,,34,,20,,73,,8,,64,,,,,,,,,,14,35,11,1,,Others,GOHAR PUBLISHERS,,,,13,14,22,364210,Zulfiqar Ali
