DistrictName,TehsilName,UCName,VisitDate,RefCode,SchoolName,SchoolMauza,SchoolAddress,PhoneNumber,TotalAreaKanal,TotalAreaMarla,GPS_North,GPS_East,EstablishmentYear,SchoolLocation,SchoolLevel,SchoolGender,RegistrationStatus,RegistrationNo,BISEAffiliated,BISEName,SchoolCategory,School Category,MediumOfInstruction,NoOfClassRooms,Fac_DrinkingWater,Fac_BoundaryWall,Fac_Electricity,Fac_Toilet,Fac_StaffRoom,Fac_PlayGround,Fac_UPSGenerator,Fac_MultipurposeHall,Fac_OfficeComputer,Fac_ComputerLab,Fac_ScienceLab,Fac_Library,Fac_Transport,Fac_Hostel,BuildingOwnership,Enrolment_PN_Boys,Enrolment_PN_Girls,Enrolment_NU_Boys,Enrolment_NU_Girls,Enrolment_PR_Boys,Enrolment_PR_Girls,Enrolment_01_Boys,Enrolment_01_Girls,Enrolment_02_Boys,Enrolment_02_Girls,Enrolment_03_Boys,Enrolment_03_Girls,Enrolment_04_Boys,Enrolment_04_Girls,Enrolment_05_Boys,Enrolment_05_Girls,Enrolment_06_Boys,Enrolment_06_Girls,Enrolment_07_Boys,Enrolment_07_Girls,Enrolment_08_Boys,Enrolment_08_Girls,Enrolment_09S_Boys,Enrolment_09A_Boys,Enrolment_09S_Girls,Enrolment_09A_Girls,Enrolment_10S_Boys,Enrolment_10A_Boys,Enrolment_10S_Girls,Enrolment_10A_Girls,Enrolment_11S_Boys,Enrolment_11A_Boys,Enrolment_11S_Girls,Enrolment_11A_Girls,Enrolment_12S_Boys,Enrolment_12A_Boys,Enrolment_12S_Girls,Enrolment_12A_Girls,Enrolment_OLS_Boys,Enrolment_OLA_Boys,Enrolment_OLS_Girls,Enrolment_OLA_Girls,Enrolment_ALS_Boys,Enrolment_ALA_Boys,Enrolment_ALS_Girls,Enrolment_ALA_Girls,TeachingStaffMale,TeachingStaffFemale,NonTeachingStaffMale,NonTeachingStaffFemale,MultiGradeClassesClubbed,TextBooksUsed,TextBooksOtherName,Teachers_FAFSC_Male,Teachers_FAFSC_Female,Teachers_BABSC_Male,Teachers_BABSC_Female,Teachers_MAMSC_Male,Teachers_MAMSC_Female,EnumeratorID,EnumeratorName
VEHARI,MAILSI,TIBBA SULTAN PUR,24-Nov-16,36391544,PNFEP GOVERNMENT NON FORMAL BASIC EDUCATION SCHOOL BASTI QABARASTAN TIBBA SULTAN PUR ,QABRATAN ,BASTY QABRATAN,3007313714,,5,29.9138581,71.8795774,2015,Rural,Primary,Both,NotRegistered,,No,,16,Non Formal Basic Education (NFBE),Urdu,2,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Owned,,,14,13,,,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,N&1,PCTB,,,1,,,,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,19-Nov-16,36391330,THE TIMES SCHOOL SYSTEM,TIBBA SULTAN PUR,WARD NO 6 TIBBA SULTAN PUR,6736092084,,15,29.972596,71.8780434,2016,Rural,Primary,Both,UnderProcess,,No,,22,Private Un-Registered,English,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Rented,19,19,12,16,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,Oxford,,,,,4,,2,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,19-Nov-16,36391328,THE COURTEOUS MODEL SCHOOL,8TIBBA SULTAN PUR,4,,,2,29.9791963,71.878638,2014,Urban,Middle,Both,Registered,760/EDO,No,,21,Private Registered,Mixed,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Rented,,,9,5,8,3,4,5,6,4,8,4,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,"NURSERY-2,5-6",PCTB,,,2,1,,,1,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,23-Nov-16,36391488,PNFEP GOVERNMENT NON FORMAL BASIC EDUCATION SCHOOL CHAH PIRAN WALA ,PERAN ,CHAH PIRAN WALA ,3003795624,,14,29.9851568,71.8699614,2015,Rural,Primary,Both,NotRegistered,,No,,16,Non Formal Basic Education (NFBE),Urdu,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Owned,,,15,8,,,7,3,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,N-5,PCTB,,,1,,,,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,18-Nov-16,36391290,THE ARMY PUBLIC SCHOOL CHAK NO.204-WB,CHAK NO 204/WB,CHAK NO 204 W B MAKAN COLONY,3018788987,,10,29.9850892,71.8773958,2016,Rural,Primary,Both,NotRegistered,,No,,7,Army,Mixed,2,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Others,,,13,19,7,4,7,5,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,NURSERY-1;2-3,PCTB,,,1,1,,,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,18-Nov-16,36391286,ALI GARH PUBLIC SCHOOL CHAK NO.204-WB,CHAK NO 204,CHAK NO 204 W B MAKAN COLONY,3077972248,,7,29.9314396,71.8777669,2013,Rural,Primary,Both,NotRegistered,,No,,22,Private Un-Registered,Mixed,1,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Rent Free,,,7,9,8,3,4,5,5,10,3,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,NURSERY-2,PCTB,,,1,1,1,,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,12-Nov-16,36390745,KNOWLEDGE WAY HIGH SCHOOL,QAMBER SHAH ,Purana Adda Multan Road Tibba,3472628928,,4,29.9874217,71.8774136,2016,Rural,High,Both,Registered,322,No,,21,Private Registered,Urdu,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Rent Free,,,,2,2,2,1,1,,3,2,1,1,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,N-3,PCTB,,,,,,1,1,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,23-Nov-16,36391478,PNFEP GOVERNMENT NON FORMAL BASIC EDUCATION SCHOOL,JANDANWALA,CHAK NO 204 W B MAKAN COLONY,3047245358,,5,29.9663877,71.8026237,2015,Rural,Primary,Both,NotRegistered,,No,,16,Non Formal Basic Education (NFBE),Mixed,1,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Owned,,,7,11,,,6,3,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,N-3,PCTB,,,,,1,,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,10-Nov-16,36390543,QUEEN MARRY SCHOOL,SULTAN PUR,WARD NO 5 SULTAN PUR,3017941748,,10,29.976404,71.8776651,2005,Urban,Middle,Both,Registered,661/EE,No,,23,Missionary,Mixed,6,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Rented,,,11,6,6,15,5,8,9,8,4,2,10,8,9,7,4,2,8,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,N-1,PCTB,,,4,,2,,,363203,Muhammad Amin
VEHARI,MAILSI,TIBBA SULTAN PUR,10-Nov-16,36390532,THE RISE SCHOOL SYSTEM,SULTAN PUR,WARD NO 5 SULTAN PUR,3017811010,,10,29.9748045,71.8806843,2016,Rural,Primary,Both,NotRegistered,,No,,22,Private Un-Registered,Mixed,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Rented,10,5,,,,3,2,,,5,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,1,,PCTB,,,,,3,2,,363203,Muhammad Amin
